num,target
11151,서랍
11152,서울시
11153,서초구
11154,선반
11155,선생님
11156,성동구
11157,성북구
11158,성폭행
11159,소방관
11160,소방차
11161,소화기
11162,소화전
11163,손
11164,손가락
11165,손목
11166,송파구
11167,수영장
11168,수요일
11169,술취한 사람
11170,숨을안쉬다
11171,시청
11172,신고하세요(경찰)
11173,심장마비
11174,아기
11175,아이들
11176,어린이
11177,아내
11178,아들
11179,아빠
11180,아저씨
11181,아줌마
11182,아파트
11183,인대
11184,안방
11185,알려주세요
11186,앞
11187,앞집
11188,약국
11189,약사
11190,양천구
11191,어깨
11192,어제
11193,어지러움
11194,언니
11195,얼굴
11196,엄마
11197,엘리베이터
11198,여자친구
11199,여학생
11200,연기
11201,연락해주세요
11202,열
11203,열나다
11204,열어주세요
11205,엽총
11206,영등포구
11207,옆집
11208,옆집 아저씨
11209,옆집 할아버지
11210,옆집사람
11211,옆쪽
11212,오늘
11213,오른쪽
11214,오른쪽-귀
11215,오른쪽-눈
11216,오빠
11217,옥상
11218,올해
11219,왼쪽
11220,왼쪽-귀
11221,왼쪽-눈
11222,욕실
11223,용산구
11224,우리집
11225,운동장
11226,월요일
11227,위
11228,위에
11229,위협
11230,윗집
11231,윗집사람
11232,유리
11233,유치원
11234,유치원 버스
11235,은평구
11236,음식물
11237,응급대원
11238,응급처리
11239,의사
11240,이마
11241,이물질
11242,이번
11243,이상한사람
11244,이웃집
11245,일요일
11246,임산부
11247,임신한아내
11248,자동차
11249,자살
11250,자상
11251,작년
11252,작은방
11253,장난감
11254,장단지
11255,절단
11256,제초제
11257,조난
11258,종로구
11259,주
11260,중구
11261,중랑구
11262,지난
11263,지혈대
11264,진통제
11265,질식
11266,집
11267,집단폭행
11268,차밖
11269,차안
11270,창문
11271,창백하다
11272,체온계
11273,총
11274,추락
11275,축사
11276,출산
11277,출혈
11278,피나다
11279,친구
11280,침수
11281,칼
11282,코
11283,택시
11284,토요일
11285,토하다
11286,통학버스
11287,트랙터
11288,트럭
11289,파도
11290,파편
11291,팔
11292,팔꿈치
11293,폭발
11294,폭탄
11295,폭우
11296,폭행
11297,학교
11298,학생
11299,할머니
11300,할아버지
11301,함몰되다
11302,해(연)
11303,해독제
11304,해열제
11305,허리
11306,허벅지
11307,현관
11308,현관앞
11309,협박
11310,형
11311,호흡곤란
11312,호흡기
11313,홍수
11314,화상
11315,화약
11316,화요일
11317,화장실
11318,화재
11319,0
11320,1
11321,2
11322,3
11323,4
11324,5
11325,6
11326,7
11327,8
11328,9
11329,10
11330,11
11331,12
11332,13
11333,14
11334,15
11335,16
11336,17
11337,18
11338,19
11339,20
11340,21
11341,22
11342,23
11343,24
11344,25
11345,26
11346,27
11347,28
11348,29
11349,30
11350,31
11351,32
11352,33
11353,34
11354,35
11355,36
11356,37
11357,38
11358,39
11359,40
11360,41
11361,42
11362,43
11363,44
11364,45
11365,46
11366,47
11367,48
11368,49
11369,50
11370,51
11371,52
11372,53
11373,54
11374,55
11375,56
11376,57
11377,58
11378,59
11379,60
11380,61
11381,62
11382,63
11383,64
11384,65
11385,66
11386,67
11387,68
11388,69
11389,70
11390,71
11391,72
11392,73
11393,74
11394,75
11395,76
11396,77
11397,78
11398,79
11399,80
11400,81
11401,82
11402,83
11403,84
11404,85
11405,86
11406,87
11407,88
11408,89
11409,90
11410,91
11411,92
11412,93
11413,94
11414,95
11415,96
11416,97
11417,98
11418,99
11419,100
11420,112
11421,119
11422,1000
11423,10000
11424,가렵다
11425,가스
11426,가슴
11427,가시
11428,각목
11429,갇히다
11430,감금
11431,감전
11432,강
11433,강남구
11434,강동구
11435,강북구
11436,강서구
11437,강풍
11438,개
11439,거실
11440,걸렸다
11441,결박
11442,경운기
11443,경찰
11444,경찰차
11445,계곡
11446,계단
11447,고속도로
11448,고압전선
11449,고열
11450,고장
11451,부러지다
11452,골절
11453,탈골
11454,곰
11455,공사장
11456,공원
11457,놀이터
11458,공장
11459,관악구
11460,광진구
11461,교통사고
11462,구급대
11463,구급대원
11464,구급차
11465,구로구
11466,구청
11467,구해주세요
11468,귀
11469,금가다
11470,금요일
11471,금천구
11472,급류
11473,기절
11474,기절하다
11475,깔리다
11476,끓는물
11477,남자친구
11478,남편
11479,남학생
11480,납치
11481,낫
11482,낯선남자
11483,낯선사람
11484,낯선여자
11485,내년
11486,내일
11487,냄새나다
11488,노원구
11489,논
11490,농약
11491,누나
11492,누수
11493,누전
11494,누출
11495,눈
11496,다리
11497,다음
11498,달(월)
11499,대문앞
11500,도둑
11501,절도
11502,도로
11503,도봉구
11504,독극물
11505,독버섯
11506,독사
11507,동대문구
11508,동생
11509,동작구
11510,동전
11511,두드러기생기다
11512,뒤
11513,뒤통수
11514,등
11515,딸
11516,떨어지다
11517,쓰러지다
11518,뜨거운물
11519,마당
11520,마포구
11521,말려주세요
11522,말벌
11523,맹견
11524,머리
11525,멧돼지
11526,목
11527,목요일
11528,무너지다
11529,붕괴
11530,무릎
11531,문틈
11532,물
11533,밑에
11534,아래
11535,바다
11536,반점생기다
11537,발
11538,발가락
11539,발목
11540,발작
11541,방망이
11542,밭
11543,배
11544,복부
11545,배고프다
11546,뱀
11547,벌
11548,범람
11549,벼락
11550,병원
11551,보건소
11552,보내주세요(경찰)
11553,보내주세요(구급차)
11554,복통
11555,볼
11556,부엌
11557,불
11558,불나다
11559,붕대
11560,비닐하우스
11561,비상약
11562,빌라
11563,뼈
11564,사이
11565,산
11566,살충제
11567,살해
11568,삼키다
11569,서대문구
11570,서랍
11571,서울시
11572,서초구
11573,선반
11574,선생님
11575,성동구
11576,성북구
11577,성폭행
11578,소방관
11579,소방차
11580,소화기
11581,소화전
11582,손
11583,손가락
11584,손목
11585,송파구
11586,수영장
11587,수요일
11588,술취한 사람
11589,숨을안쉬다
11590,시청
11591,신고하세요(경찰)
11592,심장마비
11593,아기
11594,아이들
11595,어린이
11596,아내
11597,아들
11598,아빠
11599,아저씨
11600,아줌마
11601,아파트
11602,인대
11603,안방
11604,알려주세요
11605,앞
11606,앞집
11607,약국
11608,약사
11609,양천구
11610,어깨
11611,어제
11612,어지러움
11613,언니
11614,얼굴
11615,엄마
11616,엘리베이터
11617,여자친구
11618,여학생
11619,연기
11620,연락해주세요
11621,열
11622,열나다
11623,열어주세요
11624,엽총
11625,영등포구
11626,옆집
11627,옆집 아저씨
11628,옆집 할아버지
11629,옆집사람
11630,옆쪽
11631,오늘
11632,오른쪽
11633,오른쪽-귀
11634,오른쪽-눈
11635,오빠
11636,옥상
11637,올해
11638,왼쪽
11639,왼쪽-귀
11640,왼쪽-눈
11641,욕실
11642,용산구
11643,우리집
11644,운동장
11645,월요일
11646,위
11647,위에
11648,위협
11649,윗집
11650,윗집사람
11651,유리
11652,유치원
11653,유치원 버스
11654,은평구
11655,음식물
11656,응급대원
11657,응급처리
11658,의사
11659,이마
11660,이물질
11661,이번
11662,이상한사람
11663,이웃집
11664,일요일
11665,임산부
11666,임신한아내
11667,자동차
11668,자살
11669,자상
11670,작년
11671,작은방
11672,장난감
11673,장단지
11674,절단
11675,제초제
11676,조난
11677,종로구
11678,주
11679,중구
11680,중랑구
11681,지난
11682,지혈대
11683,진통제
11684,질식
11685,집
11686,집단폭행
11687,차밖
11688,차안
11689,창문
11690,창백하다
11691,체온계
11692,총
11693,추락
11694,축사
11695,출산
11696,출혈
11697,피나다
11698,친구
11699,침수
11700,칼
11701,코
11702,택시
11703,토요일
11704,토하다
11705,통학버스
11706,트랙터
11707,트럭
11708,파도
11709,파편
11710,팔
11711,팔꿈치
11712,폭발
11713,폭탄
11714,폭우
11715,폭행
11716,학교
11717,학생
11718,할머니
11719,할아버지
11720,함몰되다
11721,해(연)
11722,해독제
11723,해열제
11724,허리
11725,허벅지
11726,현관
11727,현관앞
11728,협박
11729,형
11730,호흡곤란
11731,호흡기
11732,홍수
11733,화상
11734,화약
11735,화요일
11736,화장실
11737,화재
11738,0
11739,1
11740,2
11741,3
11742,4
11743,5
11744,6
11745,7
11746,8
11747,9
11748,10
11749,11
11750,12
11751,13
11752,14
11753,15
11754,16
11755,17
11756,18
11757,19
11758,20
11759,21
11760,22
11761,23
11762,24
11763,25
11764,26
11765,27
11766,28
11767,29
11768,30
11769,31
11770,32
11771,33
11772,34
11773,35
11774,36
11775,37
11776,38
11777,39
11778,40
11779,41
11780,42
11781,43
11782,44
11783,45
11784,46
11785,47
11786,48
11787,49
11788,50
11789,51
11790,52
11791,53
11792,54
11793,55
11794,56
11795,57
11796,58
11797,59
11798,60
11799,61
11800,62
11801,63
11802,64
11803,65
11804,66
11805,67
11806,68
11807,69
11808,70
11809,71
11810,72
11811,73
11812,74
11813,75
11814,76
11815,77
11816,78
11817,79
11818,80
11819,81
11820,82
11821,83
11822,84
11823,85
11824,86
11825,87
11826,88
11827,89
11828,90
11829,91
11830,92
11831,93
11832,94
11833,95
11834,96
11835,97
11836,98
11837,99
11838,100
11839,112
11840,119
11841,1000
11842,10000
11843,가렵다
11844,가스
11845,가슴
11846,가시
11847,각목
11848,갇히다
11849,감금
11850,감전
11851,강
11852,강남구
11853,강동구
11854,강북구
11855,강서구
11856,강풍
11857,개
11858,거실
11859,걸렸다
11860,결박
11861,경운기
11862,경찰
11863,경찰차
11864,계곡
11865,계단
11866,고속도로
11867,고압전선
11868,고열
11869,고장
11870,부러지다
11871,골절
11872,탈골
11873,곰
11874,공사장
11875,공원
11876,놀이터
11877,공장
11878,관악구
11879,광진구
11880,교통사고
11881,구급대
11882,구급대원
11883,구급차
11884,구로구
11885,구청
11886,구해주세요
11887,귀
11888,금가다
11889,금요일
11890,금천구
11891,급류
11892,기절
11893,기절하다
11894,깔리다
11895,끓는물
11896,남자친구
11897,남편
11898,남학생
11899,납치
11900,낫
11901,낯선남자
11902,낯선사람
11903,낯선여자
11904,내년
11905,내일
11906,냄새나다
11907,노원구
11908,논
11909,농약
11910,누나
11911,누수
11912,누전
11913,누출
11914,눈
11915,다리
11916,다음
11917,달(월)
11918,대문앞
11919,도둑
11920,절도
11921,도로
11922,도봉구
11923,독극물
11924,독버섯
11925,독사
11926,동대문구
11927,동생
11928,동작구
11929,동전
11930,두드러기생기다
11931,뒤
11932,뒤통수
11933,등
11934,딸
11935,떨어지다
11936,쓰러지다
11937,뜨거운물
11938,마당
11939,마포구
11940,말려주세요
11941,말벌
11942,맹견
11943,머리
11944,멧돼지
11945,목
11946,목요일
11947,무너지다
11948,붕괴
11949,무릎
11950,문틈
11951,물
11952,밑에
11953,아래
11954,바다
11955,반점생기다
11956,발
11957,발가락
11958,발목
11959,발작
11960,방망이
11961,밭
11962,배
11963,복부
11964,배고프다
11965,뱀
11966,벌
11967,범람
11968,벼락
11969,병원
11970,보건소
11971,보내주세요(경찰)
11972,보내주세요(구급차)
11973,복통
11974,볼
11975,부엌
11976,불
11977,불나다
11978,붕대
11979,비닐하우스
11980,비상약
11981,빌라
11982,뼈
11983,사이
11984,산
11985,살충제
11986,살해
11987,삼키다
11988,서대문구
11989,서랍
11990,서울시
11991,서초구
11992,선반
11993,선생님
11994,성동구
11995,성북구
11996,성폭행
11997,소방관
11998,소방차
11999,소화기
12000,소화전
12001,손
12002,손가락
12003,손목
12004,송파구
12005,수영장
12006,수요일
12007,술취한 사람
12008,숨을안쉬다
12009,시청
12010,신고하세요(경찰)
12011,심장마비
12012,아기
12013,아이들
12014,어린이
12015,아내
12016,아들
12017,아빠
12018,아저씨
12019,아줌마
12020,아파트
12021,인대
12022,안방
12023,알려주세요
12024,앞
12025,앞집
12026,약국
12027,약사
12028,양천구
12029,어깨
12030,어제
12031,어지러움
12032,언니
12033,얼굴
12034,엄마
12035,엘리베이터
12036,여자친구
12037,여학생
12038,연기
12039,연락해주세요
12040,열
12041,열나다
12042,열어주세요
12043,엽총
12044,영등포구
12045,옆집
12046,옆집 아저씨
12047,옆집 할아버지
12048,옆집사람
12049,옆쪽
12050,오늘
12051,오른쪽
12052,오른쪽-귀
12053,오른쪽-눈
12054,오빠
12055,옥상
12056,올해
12057,왼쪽
12058,왼쪽-귀
12059,왼쪽-눈
12060,욕실
12061,용산구
12062,우리집
12063,운동장
12064,월요일
12065,위
12066,위에
12067,위협
12068,윗집
12069,윗집사람
12070,유리
12071,유치원
12072,유치원 버스
12073,은평구
12074,음식물
12075,응급대원
12076,응급처리
12077,의사
12078,이마
12079,이물질
12080,이번
12081,이상한사람
12082,이웃집
12083,일요일
12084,임산부
12085,임신한아내
12086,자동차
12087,자살
12088,자상
12089,작년
12090,작은방
12091,장난감
12092,장단지
12093,절단
12094,제초제
12095,조난
12096,종로구
12097,주
12098,중구
12099,중랑구
12100,지난
12101,지혈대
12102,진통제
12103,질식
12104,집
12105,집단폭행
12106,차밖
12107,차안
12108,창문
12109,창백하다
12110,체온계
12111,총
12112,추락
12113,축사
12114,출산
12115,출혈
12116,피나다
12117,친구
12118,침수
12119,칼
12120,코
12121,택시
12122,토요일
12123,토하다
12124,통학버스
12125,트랙터
12126,트럭
12127,파도
12128,파편
12129,팔
12130,팔꿈치
12131,폭발
12132,폭탄
12133,폭우
12134,폭행
12135,학교
12136,학생
12137,할머니
12138,할아버지
12139,함몰되다
12140,해(연)
12141,해독제
12142,해열제
12143,허리
12144,허벅지
12145,현관
12146,현관앞
12147,협박
12148,형
12149,호흡곤란
12150,호흡기
12151,홍수
12152,화상
12153,화약
12154,화요일
12155,화장실
12156,화재
12157,0
12158,1
12159,2
12160,3
12161,4
12162,5
12163,6
12164,7
12165,8
12166,9
12167,10
12168,11
12169,12
12170,13
12171,14
12172,15
12173,16
12174,17
12175,18
12176,19
12177,20
12178,21
12179,22
12180,23
12181,24
12182,25
12183,26
12184,27
12185,28
12186,29
12187,30
12188,31
12189,32
12190,33
12191,34
12192,35
12193,36
12194,37
12195,38
12196,39
12197,40
12198,41
12199,42
12200,43
12201,44
12202,45
12203,46
12204,47
12205,48
12206,49
12207,50
12208,51
12209,52
12210,53
12211,54
12212,55
12213,56
12214,57
12215,58
12216,59
12217,60
12218,61
12219,62
12220,63
12221,64
12222,65
12223,66
12224,67
12225,68
12226,69
12227,70
12228,71
12229,72
12230,73
12231,74
12232,75
12233,76
12234,77
12235,78
12236,79
12237,80
12238,81
12239,82
12240,83
12241,84
12242,85
12243,86
12244,87
12245,88
12246,89
12247,90
12248,91
12249,92
12250,93
12251,94
12252,95
12253,96
12254,97
12255,98
12256,99
12257,100
12258,112
12259,119
12260,1000
12261,10000
12262,가렵다
12263,가스
12264,가슴
12265,가시
12266,각목
12267,갇히다
12268,감금
12269,감전
12270,강
12271,강남구
12272,강동구
12273,강북구
12274,강서구
12275,강풍
12276,개
12277,거실
12278,걸렸다
12279,결박
12280,경운기
12281,경찰
12282,경찰차
12283,계곡
12284,계단
12285,고속도로
12286,고압전선
12287,고열
12288,고장
12289,부러지다
12290,골절
12291,탈골
12292,곰
12293,공사장
12294,공원
12295,놀이터
12296,공장
12297,관악구
12298,광진구
12299,교통사고
12300,구급대
12301,구급대원
12302,구급차
12303,구로구
12304,구청
12305,구해주세요
12306,귀
12307,금가다
12308,금요일
12309,금천구
12310,급류
12311,기절
12312,기절하다
12313,깔리다
12314,끓는물
12315,남자친구
12316,남편
12317,남학생
12318,납치
12319,낫
12320,낯선남자
12321,낯선사람
12322,낯선여자
12323,내년
12324,내일
12325,냄새나다
12326,노원구
12327,논
12328,농약
12329,누나
12330,누수
12331,누전
12332,누출
12333,눈
12334,다리
12335,다음
12336,달(월)
12337,대문앞
12338,도둑
12339,절도
12340,도로
12341,도봉구
12342,독극물
12343,독버섯
12344,독사
12345,동대문구
12346,동생
12347,동작구
12348,동전
12349,두드러기생기다
12350,뒤
12351,뒤통수
12352,등
12353,딸
12354,떨어지다
12355,쓰러지다
12356,뜨거운물
12357,마당
12358,마포구
12359,말려주세요
12360,말벌
12361,맹견
12362,머리
12363,멧돼지
12364,목
12365,목요일
12366,무너지다
12367,붕괴
12368,무릎
12369,문틈
12370,물
12371,밑에
12372,아래
12373,바다
12374,반점생기다
12375,발
12376,발가락
12377,발목
12378,발작
12379,방망이
12380,밭
12381,배
12382,복부
12383,배고프다
12384,뱀
12385,벌
12386,범람
12387,벼락
12388,병원
12389,보건소
12390,보내주세요(경찰)
12391,보내주세요(구급차)
12392,복통
12393,볼
12394,부엌
12395,불
12396,불나다
12397,붕대
12398,비닐하우스
12399,비상약
12400,빌라
12401,뼈
12402,사이
12403,산
12404,살충제
12405,살해
12406,삼키다
12407,서대문구
12408,서랍
12409,서울시
12410,서초구
12411,선반
12412,선생님
12413,성동구
12414,성북구
12415,성폭행
12416,소방관
12417,소방차
12418,소화기
12419,소화전
12420,손
12421,손가락
12422,손목
12423,송파구
12424,수영장
12425,수요일
12426,술취한 사람
12427,숨을안쉬다
12428,시청
12429,신고하세요(경찰)
12430,심장마비
12431,아기
12432,아이들
12433,어린이
12434,아내
12435,아들
12436,아빠
12437,아저씨
12438,아줌마
12439,아파트
12440,인대
12441,안방
12442,알려주세요
12443,앞
12444,앞집
12445,약국
12446,약사
12447,양천구
12448,어깨
12449,어제
12450,어지러움
12451,언니
12452,얼굴
12453,엄마
12454,엘리베이터
12455,여자친구
12456,여학생
12457,연기
12458,연락해주세요
12459,열
12460,열나다
12461,열어주세요
12462,엽총
12463,영등포구
12464,옆집
12465,옆집 아저씨
12466,옆집 할아버지
12467,옆집사람
12468,옆쪽
12469,오늘
12470,오른쪽
12471,오른쪽-귀
12472,오른쪽-눈
12473,오빠
12474,옥상
12475,올해
12476,왼쪽
12477,왼쪽-귀
12478,왼쪽-눈
12479,욕실
12480,용산구
12481,우리집
12482,운동장
12483,월요일
12484,위
12485,위에
12486,위협
12487,윗집
12488,윗집사람
12489,유리
12490,유치원
12491,유치원 버스
12492,은평구
12493,음식물
12494,응급대원
12495,응급처리
12496,의사
12497,이마
12498,이물질
12499,이번
12500,이상한사람
12501,이웃집
12502,일요일
12503,임산부
12504,임신한아내
12505,자동차
12506,자살
12507,자상
12508,작년
12509,작은방
12510,장난감
12511,장단지
12512,절단
12513,제초제
12514,조난
12515,종로구
12516,주
12517,중구
12518,중랑구
12519,지난
12520,지혈대
12521,진통제
12522,질식
12523,집
12524,집단폭행
12525,차밖
12526,차안
12527,창문
12528,창백하다
12529,체온계
12530,총
12531,추락
12532,축사
12533,출산
12534,출혈
12535,피나다
12536,친구
12537,침수
12538,칼
12539,코
12540,택시
12541,토요일
12542,토하다
12543,통학버스
12544,트랙터
12545,트럭
12546,파도
12547,파편
12548,팔
12549,팔꿈치
12550,폭발
12551,폭탄
12552,폭우
12553,폭행
12554,학교
12555,학생
12556,할머니
12557,할아버지
12558,함몰되다
12559,해(연)
12560,해독제
12561,해열제
12562,허리
12563,허벅지
12564,현관
12565,현관앞
12566,협박
12567,형
12568,호흡곤란
12569,호흡기
12570,홍수
12571,화상
12572,화약
12573,화요일
12574,화장실
12575,화재
12576,0
12577,1
12578,2
12579,3
12580,4
12581,5
12582,6
12583,7
12584,8
12585,9
12586,10
12587,11
12588,12
12589,13
12590,14
12591,15
12592,16
12593,17
12594,18
12595,19
12596,20
12597,21
12598,22
12599,23
12600,24
12601,25
12602,26
12603,27
12604,28
12605,29
12606,30
12607,31
12608,32
12609,33
